ride_id,member_casual,ride_length
28B404F1A3F65336,member,1.6568666666666667
8F72571A3272F335,member,3.73225
9A0A39F65FE98D5F,member,7.517916666666666
8C4F87ECB544858C,member,15.226083333333332
D2D0BE8634E7CF8A,member,16.3637
F5D6158058FF8B1C,member,25.997533333333333
6771D904A40ABF90,member,13.707483333333332
E7A68F6F86CC31F8,member,5.5899833333333335
FC6FA563520B627E,casual,7.070016666666667
E29F66E6EAC26522,member,4.250733333333334
A4BBDE72663B9180,member,4.8449
C0AAD56EBF39277E,member,18.452516666666668
92B2A297413BA584,member,29.37673333333333
6026C3EFB0EBFCF7,member,12.674416666666668
5700DAF02ECB494E,member,8.957433333333334
3C90882483ECF700,member,6.831683333333333
FA9A1BBD8718775A,member,2.80705
5E3FD4816355DA97,member,5.310866666666667
808C80E8759FD668,member,11.71795
629FCA6C1E8252FC,member,6.25135
9AE89E0D70774774,member,6.7110666666666665
CF257A17D92984AD,member,4.315433333333333
8E3AFCFF3C3AFD73,member,17.857183333333335
C1F6FAB90C0C6F88,member,5.924933333333333
750929D0937219C1,member,4.35825
D87D264B07F05C7F,member,1.4189666666666667
02140385D536FB08,casual,179.07503333333335
9DEF1F346AC40B37,casual,20.6821
66D242CAA2E9069D,casual,141.41103333333334
21560A9904C19671,member,7.262316666666666
63023EA3B9E2BB36,member,5.532066666666666
DBF4DAF4055E7377,casual,11.111983333333336
276B4950BDCEED7B,casual,10.47705
991D7FBABE4DA969,member,4.45545
CE7D3E36FB606FB6,member,7.289883333333333
07B1D6ADF9A2D8B9,member,5.846816666666667
D793174FECA5F887,member,10.8006
BE33124109FC4205,member,14.740033333333336
6A431EB7A5AAC82F,member,4.4038
EDC2D2D13E52E82E,member,12.28815
1187D32EB9A91D94,member,5.8289833333333325
06DAD8FBA061A57A,member,61.08895
C18BFC8CD70DD3CF,casual,7.0402
86F02DEEE88E6D2E,member,5.270216666666667
29FAB2986F8D7A11,casual,29.133266666666668
998B5ADD62D22B73,member,5.062366666666667
A3A785A1AB908BC5,member,15.278333333333334
D4695CF187D4106C,member,8.580566666666666
4E418F72BC630088,member,2.722233333333333
4A940C313EC86BF4,casual,20.33685
AFDB070DC63BEDFF,casual,22.724116666666664
FECBA825FB75EEFE,member,6.461133333333334
0FD9FE148048AAFD,casual,42.26475000000001
2E658FE36C62BA11,casual,18.228516666666668
96C95A5771FC8C43,member,20.17535
5EBFA44769E2E6D2,member,13.987666666666666
0ED96A247C04FCF1,member,4.597766666666667
F14E2A2882B7C1DB,casual,8.450066666666666
796B86C1781EE742,member,2.980033333333333
FC1E63DF10BED94F,member,15.379716666666669
AD149149AD4DB418,casual,13.3453
E0E9D7147AEA72CC,member,12.211133333333333
9A4308D64554FD83,member,3.613133333333333
96C861B648EBC8DB,member,22.958566666666663
2671B846E9304DDC,member,6.107783333333333
DA03065B98AB66FD,member,2.9593333333333334
C65E0747D5E40802,member,8.379333333333333
54BC61E8B2146B77,casual,28.3903
561C58CB7FFD6391,member,2.4688666666666665
70A95DABB5B25528,member,3.6075
46B132BC3BE9D083,member,6.34965
578513818C32A650,casual,37.76485
8A68D77295186803,member,4.4763166666666665
0BE63044877BA944,member,12.7874
D7701B8FA7AC0B06,member,4.63085
A30E7E4565CB6356,casual,40.14136666666666
85E1C360B774D204,member,18.71901666666667
BECD2A19F5371147,member,11.707133333333331
22B3A3D252079D0B,member,19.449916666666663
F84749D8C670C339,member,26.779166666666665
700DD9AAC5A05736,casual,18.14838333333333
53582BB349D5213A,member,8.306466666666667
7C9033F2539ABD2B,member,20.7603
ED6A5D5598A28173,member,1.8837
B9BAB168DFD41973,member,15.945683333333331
620FA76BD9505D94,casual,42.536433333333335
F1983639F2BF6997,member,9.745216666666666
6CF5E6D88B816314,member,13.5153
2070187641D98D52,member,29.61008333333333
C2B0D9F3AA3DFD5C,member,24.289383333333333
949BA45C6C64C2FE,member,5.998833333333334
A26C9FFD2689702A,casual,23.672283333333333
DC7D7BFC6233E847,member,2.743866666666667
7FCC416A03BFA594,casual,34.318200000000004
A6EE71FFAA887DD8,member,9.978416666666668
168C5FBCE247DFF5,casual,6.803883333333333
5855F7C9C3C442EC,member,12.994983333333332
7C896293F0779A05,member,24.012066666666662
528ADAA0110248C3,member,6.840083333333333
E618B03705321CD0,member,4.814516666666666
6C0C60B1A0FCCD6A,member,21.893916666666662
6FF271F02A72D6BD,casual,24.4468
199E7637324AD37D,member,7.626866666666667
4F1A7389CA20219D,member,3.639866666666667
663A70DCABBA6643,member,24.3306
4746C68FFF621644,member,16.013383333333334
06847EDB1F79476E,member,43.86841666666667
8BB3835CC1CC4C40,member,3.16635
1AD0EE7E2C5FCAFA,member,15.08365
69C55D502F2937CA,casual,33.231649999999995
E400B82CEC2AD288,member,18.09633333333333
B9DE7059B0EE2708,casual,26.6465
A43EC48FFDC0E34F,member,8.5444
203DF3594FCFC21C,member,2.676016666666667
C3036422C141F974,member,29.43405
6EBBE0A6F653C9C2,member,9.288
32857853034693BC,member,4.61225
610C19A222BE60F1,member,18.77658333333333
4B89BB04C1D5266D,member,18.20651666666667
F02F016A185767D2,member,44.99268333333334
F97AA6F71E09D18A,member,12.252
5707F4498C7421A5,casual,25.6199
AA4AA3678230A4C0,member,5.864583333333333
AD23D32053CC110F,casual,5.902150000000001
3660FB9E1A09A5F5,member,4.457683333333334
2D15B6C962B76207,member,8.861533333333334
F3AB5C5880B1B420,casual,23.51966666666667
DF3F8023BB75389A,casual,12.522866666666664
18E88C6DB0277766,member,7.051583333333334
CC89624F94862012,casual,46.236266666666666
416A45B4CE29C2EE,member,43.62106666666667
207015CDAA6D7B50,casual,33.614716666666666
0974D316D827CBEB,casual,25.60825
F5B8A1CE1787E1FB,member,14.839683333333332
F867F1495CD8A7F8,member,7.348733333333333
A45CFFFC3D062FF0,casual,19.85455
A177B077BFCCE981,member,3.333066666666667
E7ED869BEF32A87C,casual,30.721316666666667
EFD19D6BE8839D01,member,14.330816666666667
4031CA09CF6A4483,member,9.537366666666664
A7B5F54874E6C0CF,member,39.87821666666667
07791BA15CE1FB96,member,11.3701
EC71009AE8C573B6,member,4.560616666666666
